,CountyName,StateName,dem_to_rep_ratio,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym
922,Clinton,IA,0.895264278,,5.0,5.0,5,1,2.0
923,Fauquier,VA,0.5862068970000001,5.0,4.0,4.0,2,4,2.0
924,Carroll,VA,0.239988746,5.0,4.0,4.0,2,4,2.0
925,Union,MS,0.21786681100000002,5.0,4.0,4.0,3,4,4.0
926,McNairy,TN,0.235684224,5.0,4.0,4.0,3,4,4.0
927,Union,IL,0.414853195,3.0,2.0,2.0,2,1,2.0
928,Harris,GA,0.342325737,5.0,2.0,2.0,2,1,3.0
929,Tallahatchie,MS,1.355402112,5.0,4.0,4.0,3,4,4.0
930,Deaf Smith,TX,0.407076606,5.0,3.0,1.0,4,1,3.0
931,Red River,LA,0.810539523,4.0,2.0,2.0,2,1,2.0
932,Lawrence,OH,0.373160683,4.0,1.0,1.0,2,1,3.0
933,Daviess,KY,0.489950531,5.0,5.0,5.0,2,1,2.0
934,Nez Perce,ID,0.45125712700000004,4.0,4.0,4.0,4,4,4.0
935,Boone,IL,0.731639798,3.0,2.0,2.0,2,1,2.0
936,Morgan,IL,0.51740855,3.0,2.0,2.0,2,1,2.0
937,Chickasaw,MS,0.8841773690000001,5.0,4.0,4.0,3,4,4.0
938,Greene,GA,0.582695811,5.0,2.0,2.0,2,1,3.0
939,Washington,FL,0.262128054,5.0,2.0,2.0,2,1,3.0
940,Assumption,LA,0.585493,4.0,2.0,2.0,2,1,2.0
941,Turner,GA,0.594749403,5.0,2.0,2.0,2,1,3.0
942,Liberty,GA,1.5578741440000001,5.0,2.0,2.0,2,1,3.0
943,Shelby,KY,0.475598666,5.0,5.0,5.0,2,1,2.0
944,Monroe,FL,0.866097516,5.0,2.0,2.0,2,1,3.0
945,Madison,FL,0.7268604409999999,5.0,2.0,2.0,2,1,3.0
946,Halifax,NC,1.743771454,5.0,4.0,1.0,2,1,4.0
947,Polk,GA,0.26030506600000003,5.0,2.0,2.0,2,1,3.0
948,Van Zandt,TX,0.15151843199999998,5.0,3.0,1.0,4,1,3.0
949,Peach,GA,0.942176242,5.0,2.0,2.0,2,1,3.0
950,Kent,MD,0.938269073,5.0,2.0,1.0,2,1,2.0
951,Dyer,TN,0.276620825,5.0,4.0,4.0,3,4,4.0
952,Merrimack,NH,1.066995806,5.0,4.0,4.0,2,1,5.0
953,Gasconade,MO,0.268077601,5.0,3.0,3.0,3,1,5.0
954,Henderson,TN,0.22118456600000003,5.0,4.0,4.0,3,4,4.0
955,Jackson,WV,0.295232816,4.0,4.0,4.0,2,4,4.0
956,Lawrence,PA,0.550928111,5.0,4.0,4.0,2,1,2.0
957,Carroll,TN,0.300025786,5.0,4.0,4.0,3,4,4.0
958,Plymouth,IA,0.29803719,,5.0,5.0,5,1,2.0
959,Itawamba,MS,0.131877214,5.0,4.0,4.0,3,4,4.0
960,Cumberland,TN,0.254837603,5.0,4.0,4.0,3,4,4.0
961,Martinsville City,VA,1.644020475,5.0,4.0,4.0,2,4,2.0
962,Montgomery,MS,0.750532292,5.0,4.0,4.0,3,4,4.0
963,Pierce,GA,0.143287845,5.0,2.0,2.0,2,1,3.0
964,Morehouse,LA,0.7928329740000001,4.0,2.0,2.0,2,1,2.0
965,Jasper,SC,1.1482552540000002,5.0,2.0,2.0,2,1,5.0
966,Cullman,AL,0.115129286,5.0,3.0,1.0,2,1,5.0
967,Grant,WI,0.813507167,4.0,2.0,2.0,2,1,2.0
968,Santa Cruz,CA,4.244986184,3.0,3.0,3.0,3,1,1.0
969,Candler,GA,0.385135135,5.0,2.0,2.0,2,1,3.0
970,Grady,GA,0.497769701,5.0,2.0,2.0,2,1,3.0
971,Richmond,NC,0.818742175,5.0,4.0,1.0,2,1,4.0
972,Hawkins,TN,0.210655935,5.0,4.0,4.0,3,4,4.0
973,Cass,MI,0.510426174,4.0,4.0,4.0,2,1,2.0
974,Allegany,MD,0.37023977399999997,5.0,2.0,1.0,2,1,2.0
975,Flathead,MT,0.43958333299999997,5.0,5.0,5.0,2,1,3.0
976,Brooks,TX,3.1598694939999996,5.0,3.0,1.0,4,1,3.0
977,Macon,TN,0.171163979,5.0,4.0,4.0,3,4,4.0
978,Montgomery,IN,0.30400578699999997,4.0,4.0,1.0,3,1,2.0
979,Garfield,OK,0.274658005,,5.0,5.0,2,5,5.0
980,Blair,PA,0.356662834,5.0,4.0,4.0,2,1,2.0
